E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.490773196,0.370967742,0.431655188,3.91E-07,2478624.804,49077.3196,195639.8421,0.43008575,0.12,0.28,0.17,0.34,0.5,0,5352524327,0.053930801,1115.1471,1.32,3.08,8.1,8.16,16.32,24,0
0.517461894,0.370967742,0.377096475,3.84E-07,2228346.551,51746.18944,192182.4816,0.511333162,0.42,0.23,0.17,0.34,0.49,1,4675996288,0.061244432,1095.440145,4.62,2.53,5.35,8.16,16.32,23.52,0
0.460489451,0.370967742,0.348277409,3.91E-07,2638536.677,46048.94511,195563.4553,0.460489451,0.46,0.14,0.34,0.31,0.29,2,4318639866,0.049118149,1114.711695,5.06,1.54,5.9,16.32,14.88,13.92,0
0.466475408,0.370967742,0.407323625,3.91E-07,2607831.457,46647.5408,195642.3417,0.430119525,0.42,0.61,0.19,0.33,0.22,3,5050812946,0.050021084,1115.161348,4.62,6.71,1.17,9.12,15.84,10.56,0
0.427044151,0.370967742,0.565507112,3.92E-07,2868173.416,42704.41511,196088.8154,0.232504781,0.17,0.59,0.17,0.14,0.39,4,7012288194,0.043367141,1117.706248,1.87,6.49,4.14,8.16,6.72,18.72,0
0.314025382,0.370967742,0.691617832,3.87E-07,3743453.403,31402.53817,193421.9791,-0.006624708,0.81,0.19,0.12,0.12,0.14,5,8576061114,0.026669397,1102.505281,8.91,2.09,1.5,5.76,5.76,6.72,0
0.414424759,0.370967742,0.310368254,3.85E-07,2804906.052,41442.47588,192699.8748,0.414424759,0.5,0.2,0.41,0.34,0.12,6,3848566351,0.043701009,1098.389286,5.5,2.2,4.8,19.68,16.32,5.76,0
0.438760102,0.370967742,0.305913019,3.81E-07,2568376.942,43876.01016,190716.7007,0.438760102,0.59,0.1,0.25,0.57,0.11,7,3793321433,0.049255728,1087.085194,6.49,1.1,4.91,12,27.36,5.28,0
0.464257922,0.370967742,0.406220503,3.91E-07,2616910.513,46425.79224,195558.258,0.429005162,0.39,0.2,0.59,0.13,0.32,8,5037134234,0.049728676,1114.68207,4.29,2.2,6.01,28.32,6.24,15.36,0
0.339047705,0.370967742,0.526809581,3.94E-07,3667217.196,33904.7705,197072.4467,0.183205866,0.4,0.24,0.23,0.17,0.16,9,6532438799,0.028738962,1123.312946,4.4,2.64,5.46,11.04,8.16,7.68,0
0.308477833,0.370967742,0.540429425,3.91E-07,3933842.102,30847.78329,195482.1273,0.13901615,0.19,0.49,0.12,0.2,0.14,10,6701324873,0.024692418,1114.248126,2.09,5.39,5.02,5.76,9.6,6.72,0
0.461291109,0.370967742,0.345513,3.84E-07,2490909.924,46129.11095,191957.2254,0.461291109,0.24,0.59,0.52,0.2,0.28,11,4284361206,0.052063094,1094.156185,2.64,6.49,3.37,24.96,9.6,13.44,0
0.620813093,0.370967742,0.434031663,3.92E-07,1970900.825,62081.30928,196020.7174,0.557749172,0.75,0.25,0.16,0.35,0.52,12,5381992615,0.074457423,1117.318089,8.25,2.75,1.5,7.68,16.8,24.96,0
0.532319268,0.370967742,0.710630286,3.94E-07,2328597.785,53231.92681,196871.2582,0.192656724,0.34,0.24,0.12,0.15,0.63,13,8811815548,0.059544982,1122.166172,3.74,2.64,6.12,5.76,7.2,30.24,0
0.402833736,0.370967742,0.290856202,3.71E-07,2582600.521,40283.3736,185703.9398,0.402833736,0.1,0.49,0.16,0.74,0.11,14,3606616902,0.046905794,1058.512457,1.1,5.39,6.01,7.68,35.52,5.28,0
0.420099277,0.370967742,0.357525133,3.85E-07,2751191.76,42009.92774,192331.7694,0.420099277,0.1,0.54,0.31,0.35,0.26,15,4433311652,0.044908529,1096.291086,1.1,5.94,5.46,14.88,16.8,12.48,0
0.478505414,0.370967742,0.379831311,3.90E-07,2508099.399,47850.54137,194761.8815,0.469641845,0.47,0.43,0.51,0.13,0.27,16,4709908253,0.052653175,1110.142724,5.17,4.73,2.6,24.48,6.24,12.96,0
0.42583865,0.370967742,0.368908545,3.90E-07,2824460.134,42583.865,194903.7836,0.42583865,0.52,0.49,0.4,0.2,0.12,17,4574465954,0.044005677,1110.951566,5.72,5.39,1.39,19.2,9.6,5.76,0
0.44075346,0.370967742,0.392349437,3.86E-07,2647903.453,44075.34603,192956.4884,0.419371766,0.39,0.22,0.65,0.12,0.27,18,4865133014,0.047871421,1099.851984,4.29,2.42,5.79,31.2,5.76,12.96,0
0.568988654,0.370967742,0.456386074,3.93E-07,2169286.282,56898.86536,196592.4885,0.483570321,0.64,0.22,0.25,0.19,0.53,19,5659187321,0.065625424,1120.577184,7.04,2.42,3.04,12,9.12,25.44,0
0.620813093,0.370967742,0.434031663,3.92E-07,1970900.825,62081.30928,196020.7174,0.557749172,0.75,0.25,0.16,0.35,0.52,12,5381992615,0.074457423,1117.318089,8.25,2.75,1.5,7.68,16.8,24.96,1
0.517461894,0.370967742,0.377096475,3.84E-07,2228346.551,51746.18944,192182.4816,0.511333162,0.42,0.23,0.17,0.34,0.49,1,4675996288,0.061244432,1095.440145,4.62,2.53,5.35,8.16,16.32,23.52,1
0.568988654,0.370967742,0.456386074,3.93E-07,2169286.282,56898.86536,196592.4885,0.483570321,0.64,0.22,0.25,0.19,0.53,19,5659187321,0.065625424,1120.577184,7.04,2.42,3.04,12,9.12,25.44,1
0.478505414,0.370967742,0.379831311,3.90E-07,2508099.399,47850.54137,194761.8815,0.469641845,0.47,0.43,0.51,0.13,0.27,16,4709908253,0.052653175,1110.142724,5.17,4.73,2.6,24.48,6.24,12.96,1
0.44075346,0.370967742,0.392349437,3.86E-07,2647903.453,44075.34603,192956.4884,0.419371766,0.39,0.22,0.65,0.12,0.27,18,4865133014,0.047871421,1099.851984,4.29,2.42,5.79,31.2,5.76,12.96,1
0.460489451,0.370967742,0.348277409,3.91E-07,2638536.677,46048.94511,195563.4553,0.460489451,0.46,0.14,0.34,0.31,0.29,2,4318639866,0.049118149,1114.711695,5.06,1.54,5.9,16.32,14.88,13.92,1
0.479823558,0.370967742,0.370844869,3.80E-07,2330082.095,47982.35585,190214.8233,0.479823558,0.64,0.22,0.25,0.57,0.11,20,4598476371,0.056634387,1084.224493,7.04,2.42,3.04,12,27.36,5.28,1
0.53830479,0.370967742,0.432046786,3.91E-07,2248495.356,53830.47905,195314.0601,0.477225746,0.59,0.1,0.25,0.19,0.53,21,5357380150,0.061864338,1113.290142,6.49,1.1,4.91,12,9.12,25.44,1
0.478505414,0.370967742,0.379831311,3.90E-07,2508099.399,47850.54137,194761.8815,0.469641845,0.47,0.43,0.51,0.13,0.27,16,4709908253,0.052653175,1110.142724,5.17,4.73,2.6,24.48,6.24,12.96,1
0.478505414,0.370967742,0.379831311,3.90E-07,2508099.399,47850.54137,194761.8815,0.469641845,0.47,0.43,0.51,0.13,0.27,16,4709908253,0.052653175,1110.142724,5.17,4.73,2.6,24.48,6.24,12.96,1
0.612966042,0.370967742,0.410532939,3.92E-07,1992127.259,61296.60415,195889.5458,0.573400845,0.42,0.61,0.16,0.35,0.52,22,5090608439,0.073331843,1116.570411,4.62,6.71,1.17,7.68,16.8,24.96,1
0.478130884,0.370967742,0.417879431,3.92E-07,2563942.128,47813.08837,196145.538,0.431219195,0.75,0.25,0.19,0.33,0.22,23,5181704944,0.051501547,1118.029567,8.25,2.75,1.5,9.12,15.84,10.56,1
0.630539212,0.370967742,0.447428914,3.93E-07,1955503.246,63053.92117,196524.6244,0.55407804,0.8,0.23,0.16,0.35,0.52,24,5548118527,0.075498235,1120.190359,8.8,2.53,1.17,7.68,16.8,24.96,1
0.460489451,0.370967742,0.348277409,3.91E-07,2638536.677,46048.94511,195563.4553,0.460489451,0.46,0.14,0.34,0.31,0.29,2,4318639866,0.049118149,1114.711695,5.06,1.54,5.9,16.32,14.88,13.92,1
0.568988654,0.370967742,0.456386074,3.93E-07,2169286.282,56898.86536,196592.4885,0.483570321,0.64,0.22,0.25,0.19,0.53,19,5659187321,0.065625424,1120.577184,7.04,2.42,3.04,12,9.12,25.44,1
0.450728375,0.370967742,0.362081946,3.82E-07,2520054.61,45072.83752,191220.7624,0.450728375,0.24,0.55,0.52,0.2,0.28,25,4489816135,0.050879611,1089.958345,2.64,6.05,3.81,24.96,9.6,13.44,1
0.529264405,0.370967742,0.492661943,3.95E-07,2364869.957,52926.44053,197508.9341,0.407570205,0.39,0.22,0.25,0.19,0.53,26,6109008087,0.058517884,1125.800924,4.29,2.42,5.79,12,9.12,25.44,1
0.515308756,0.370967742,0.341701405,3.84E-07,2227888.616,51530.87563,191902.4092,0.515308756,0.64,0.22,0.65,0.12,0.27,27,4237097425,0.061136447,1093.843732,7.04,2.42,3.04,31.2,5.76,12.96,1
0.451569643,0.370967742,0.339359624,3.90E-07,2674492.852,45156.96429,195171.0902,0.451569643,0.39,0.2,0.34,0.31,0.29,28,4208059340,0.04797499,1112.475214,4.29,2.2,6.01,16.32,14.88,13.92,1
0.471214758,0.370967742,0.397002435,3.89E-07,2546043.985,47121.47581,194739.9362,0.445180066,0.46,0.14,0.59,0.13,0.32,29,4922830188,0.051487263,1110.017636,5.06,1.54,5.9,28.32,6.24,15.36,1
0.612966042,0.370967742,0.410532939,3.92E-07,1992127.259,61296.60415,195889.5458,0.573400845,0.42,0.61,0.16,0.35,0.52,22,5090608439,0.073331843,1116.570411,4.62,6.71,1.17,7.68,16.8,24.96,2
0.620813093,0.370967742,0.434031663,3.92E-07,1970900.825,62081.30928,196020.7174,0.557749172,0.75,0.25,0.16,0.35,0.52,12,5381992615,0.074457423,1117.318089,8.25,2.75,1.5,7.68,16.8,24.96,2
0.630539212,0.370967742,0.447428914,3.93E-07,1955503.246,63053.92117,196524.6244,0.55407804,0.8,0.23,0.16,0.35,0.52,24,5548118527,0.075498235,1120.190359,8.8,2.53,1.17,7.68,16.8,24.96,2
0.515308756,0.370967742,0.341701405,3.84E-07,2227888.616,51530.87563,191902.4092,0.515308756,0.64,0.22,0.65,0.12,0.27,27,4237097425,0.061136447,1093.843732,7.04,2.42,3.04,31.2,5.76,12.96,2
0.507777404,0.370967742,0.379442064,3.80E-07,2193553.298,50777.74037,189976.8207,0.499303081,0.42,0.61,0.25,0.57,0.11,30,4705081596,0.061606886,1082.867878,4.62,6.71,1.17,12,27.36,5.28,2
0.593744158,0.370967742,0.400830809,3.92E-07,2055130.417,59374.41581,195842.2276,0.563881091,0.64,0.22,0.16,0.35,0.52,31,4970302028,0.070294306,1116.300697,7.04,2.42,3.04,7.68,16.8,24.96,2
0.620813093,0.370967742,0.434031663,3.92E-07,1970900.825,62081.30928,196020.7174,0.557749172,0.75,0.25,0.16,0.35,0.52,12,5381992615,0.074457423,1117.318089,8.25,2.75,1.5,7.68,16.8,24.96,2
0.460489451,0.370967742,0.348277409,3.91E-07,2638536.677,46048.94511,195563.4553,0.460489451,0.46,0.14,0.34,0.31,0.29,2,4318639866,0.049118149,1114.711695,5.06,1.54,5.9,16.32,14.88,13.92,2
0.630539212,0.370967742,0.447428914,3.93E-07,1955503.246,63053.92117,196524.6244,0.55407804,0.8,0.23,0.16,0.35,0.52,24,5548118527,0.075498235,1120.190359,8.8,2.53,1.17,7.68,16.8,24.96,2
0.478505414,0.370967742,0.379831311,3.90E-07,2508099.399,47850.54137,194761.8815,0.469641845,0.47,0.43,0.51,0.13,0.27,16,4709908253,0.052653175,1110.142724,5.17,4.73,2.6,24.48,6.24,12.96,2
0.59219145,0.370967742,0.409176373,3.91E-07,2051157.969,59219.14497,195545.2069,0.553982819,0.47,0.43,0.16,0.35,0.52,32,5073787022,0.070334055,1114.607679,5.17,4.73,2.6,7.68,16.8,24.96,2
