E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.486071064,0.776923077,0.520749374,3.76E-07,89093110.43,128813228.9,499047.3675,484149.8467,188008.6417,0.101894678,0.31,0.52,0.63,0.19,0.11,21,2707896744,0.076735063,1796.570523,3.41,5.72,10.87,30.24,9.12,5.28,1
0.325688297,0.776923077,0.572427708,3.77E-07,93797201.42,116265772.6,463030.968,416789.0847,188636.9323,0.108811328,0.29,0.7,0.43,0.27,0.24,22,2976624082,0.107395931,1666.911485,3.19,7.7,9.11,20.64,12.96,11.52,1
0.140381546,0.776923077,0.585113626,3.78E-07,95728305.19,121123523,417567.0822,338960.2493,188792.5605,-0.141265427,0.81,0.35,0.33,0.33,0.37,23,3042590855,0.152125104,1503.241496,8.91,3.85,7.24,15.84,15.84,17.76,1
0.318357776,0.776923077,0.634394929,3.82E-07,106343114.7,132916333.5,461317.5942,413710.2658,191123.6904,-0.126869785,0.53,0.72,0.19,0.34,0.24,24,3298853630,0.114299591,1660.743339,5.83,7.92,6.25,9.12,16.32,11.52,1
0.306194892,0.776923077,0.638731529,3.80E-07,102308495.4,139551844,458460.6191,408601.8547,190169.5258,-0.223471523,0.82,0.54,0.48,0.12,0.21,25,3321403950,0.114800133,1650.458229,9.02,5.94,5.04,23.04,5.76,10.08,1
0.260769613,0.776923077,0.494478086,3.76E-07,94479751.89,127753242.7,447629.3508,389523.2374,188146.5723,-0.109273623,0.38,0.83,0.43,0.27,0.24,26,2571286048,0.120317774,1611.465663,4.18,9.13,6.69,20.64,12.96,11.52,1
0.148121765,0.776923077,0.584357298,3.80E-07,107273778.2,151316398,419564.7003,342211.1413,189781.4759,-0.543370653,0.58,0.92,0.22,0.33,0.37,27,3038657949,0.152329464,1510.432921,6.38,10.12,3.5,10.56,15.84,17.76,1
0.225688873,0.776923077,0.560619548,3.78E-07,93363934.26,113062167.2,439081.8416,374789.3268,189062.457,0.051526644,0.31,0.63,0.26,0.42,0.33,28,2915221649,0.130585916,1580.69463,3.41,6.93,9.66,12.48,20.16,15.84,1
0.447552257,0.776923077,0.576551564,3.80E-07,100107490.1,132993886.9,490638.6763,467971.9479,190116.2703,0.007526275,0.72,0.39,0.43,0.19,0.11,29,2998068135,0.087487329,1766.299235,7.92,4.29,7.79,20.64,9.12,5.28,1
0.332859727,0.776923077,0.559098253,3.78E-07,92297968.47,112392683.1,464701.0441,419801.0854,189022.2813,0.167623953,0.31,0.52,0.31,0.41,0.23,30,2907310914,0.106761043,1672.923759,3.41,5.72,10.87,14.88,19.68,11.04,1
0.152285862,0.776923077,0.506955902,3.77E-07,95328171.88,126252738.6,420635.4578,343960.0621,188560.1434,-0.197750653,0.69,0.48,0.26,0.42,0.33,18,2636170692,0.148274485,1514.287648,7.59,5.28,7.13,12.48,20.16,15.84,1
0.250407979,0.776923077,0.514209812,3.75E-07,95071888.64,130737861.2,445121.7936,385171.3513,187741.3027,-0.15943017,0.34,0.92,0.43,0.27,0.24,2,2673891022,0.121775131,1602.438457,3.74,10.12,6.14,20.64,12.96,11.52,1
0.088001464,0.776923077,0.514409592,3.76E-07,98657226.37,137594888.6,403789.0336,316960.6147,188192.3248,-0.413263718,0.96,0.33,0.21,0.47,0.36,1,2674929879,0.166065963,1453.640521,10.56,3.63,5.81,10.08,22.56,17.28,1
