E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.517136369,0.776923077,0.573597961,3.85E-07,93934347.85,120546903.2,505727.1153,497197.2751,192352.0393,0,0.28,0.3,0.46,0.2,0.23,22,2982709395,0.080347491,1820.617615,3.08,3.3,13.62,22.08,9.6,11.04,1
0.332644499,0.776923077,0.652014368,3.87E-07,108635870.2,106320413.4,464651.0093,419710.6896,193435.8156,0,0.49,0.41,0.13,0.3,0.37,23,3390474714,0.116303444,1672.743634,5.39,4.51,10.1,6.24,14.4,17.76,1
0.516090858,0.776923077,0.777431921,3.87E-07,104624265.8,121707721,505503.7419,496758.1602,193546.1101,0,0.35,0.48,0.32,0.16,0.24,24,4042645987,0.0828777,1819.813471,3.85,5.28,10.87,15.36,7.68,11.52,1
0.381421561,0.776923077,0.661349863,3.86E-07,94504972.41,124652713.7,475855.876,440197.0558,192919.3458,0,0.28,0.3,0.5,0.13,0.38,25,3439019286,0.105415496,1713.081154,3.08,3.3,13.62,24,6.24,18.24,1
0.135687574,0.776923077,0.759621422,3.84E-07,109970760.9,116505717.9,416350.9799,336988.7811,192173.6345,0,0.91,0.3,0.13,0.3,0.53,26,3950031393,0.161566428,1498.863528,10.01,3.3,6.69,6.24,14.4,25.44,1
0.302281774,0.776923077,0.49881187,3.75E-07,88292528.35,132339985.6,457537.6624,406958.345,187352.3774,0,0.5,0.67,0.64,0.17,0.16,27,2593821726,0.109479684,1647.135584,5.5,7.37,7.13,30.72,8.16,7.68,1
0.324933341,0.776923077,0.60657886,3.78E-07,102857651.6,156695263.5,462854.8041,416472.0034,188836.9364,0,0.67,0.8,0.42,0.19,0.15,28,3154210070,0.107983097,1666.277295,7.37,8.8,3.83,20.16,9.12,7.2,1
0.352627987,0.776923077,0.508147888,3.75E-07,92132402.21,134589957,469273.8867,428103.7545,187591.4856,0,0.62,0.5,0.5,0.25,0.11,29,2642369020,0.099748401,1689.385992,6.82,5.5,7.68,24,12,5.28,1
0.240103947,0.776923077,0.73453025,3.83E-07,114622181.1,134928959.9,442614.0885,380843.6577,191736.8313,0,0.67,0.8,0.24,0.19,0.38,30,3819557298,0.133191885,1593.410718,7.37,8.8,3.83,11.52,9.12,18.24,1
0.248069677,0.776923077,0.495598946,3.74E-07,88851504.27,132816084.9,444553.959,384189.2645,186792.5787,0,0.85,0.28,0.64,0.17,0.16,31,2577114520,0.120179767,1600.394252,9.35,3.08,7.57,30.72,8.16,7.68,1
0.32293779,0.776923077,0.632376883,3.81E-07,104279375.2,140078837.2,462388.8319,415633.8716,190306.1883,0,0.89,0.48,0.45,0.12,0.2,32,3288359792,0.111571766,1664.599795,9.79,5.28,4.93,21.6,5.76,9.6,1
0.29014326,0.776923077,0.867648934,3.87E-07,116143990.9,110849877.8,454662.7256,401860.1692,193705.442,0,0.42,0.7,0.17,0.18,0.45,33,4511774455,0.126042055,1636.785812,4.62,7.7,7.68,8.16,8.64,21.6,1
0.566314052,0.776923077,0.888745161,3.88E-07,115349000.7,130643966.6,516124.7167,517851.9019,193817.3177,0,0.69,0.41,0.27,0.13,0.17,34,4621474839,0.075524193,1858.04898,7.59,4.51,7.9,12.96,6.24,8.16,1
0.520189107,0.776923077,0.570423897,3.80E-07,93109285.5,123465657.9,506378.7687,498479.4251,190108.9391,0,0.35,0.48,0.49,0.22,0.12,35,2966204266,0.075428337,1822.963567,3.85,5.28,10.87,23.52,10.56,5.76,1
0.107174467,0.776923077,0.58536475,3.77E-07,100925646.9,144704189.4,408886.169,325013.276,188640.6451,0,0.89,0.65,0.5,0.13,0.38,36,3043896700,0.161352473,1471.990208,9.79,7.15,3.06,24,6.24,18.24,1
0.11956922,0.776923077,0.596135262,3.77E-07,101648642,145631554.8,412147.7624,330219.0725,188722.938,0,0.76,0.77,0.42,0.19,0.38,0,3099903365,0.157901159,1483.731945,8.36,8.47,3.17,20.16,9.12,18.24,2
