E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.278974443,0.776923077,0.591252564,3.82E-07,452001.3031,397169.266,190809.2065,0.278974443,0.6,0.4,0.25,0.33,0.31,12,3074513333,0.122143045,1627.204691,6.6,4.4,9,12,15.84,14.88,0
0.340850444,0.776923077,0.609189727,3.80E-07,466554.8733,423157.1863,189882.5054,0.340850444,0.91,0.28,0.35,0.25,0.17,13,3167786583,0.10698858,1679.597544,10.01,3.08,6.91,16.8,12,8.16,0
0.27490954,0.776923077,0.559762306,3.75E-07,451028.7776,395462.0068,187572.2845,0.27490954,0.59,0.88,0.62,0.12,0.15,14,2910763991,0.115876533,1623.703599,6.49,9.68,3.83,29.76,5.76,7.2,0
0.376645304,0.776923077,0.550687628,3.80E-07,474770.3732,438191.0278,189819.8108,0.376645304,0.48,0.32,0.25,0.46,0.18,15,2863575663,0.099813934,1709.173344,5.28,3.52,11.2,12,22.08,8.64,0
0.166631212,0.776923077,0.549464486,3.76E-07,424303.538,349985.1092,188026.2521,0.166631212,0.46,0.91,0.16,0.49,0.26,16,2857215326,0.143140901,1527.492737,5.06,10.01,4.93,7.68,23.52,12.48,0
0.330125145,0.776923077,0.536523825,3.77E-07,464064.9262,418652.5611,188592.3787,0.330125145,0.61,0.47,0.68,0.11,0.17,17,2789923891,0.106392227,1670.633734,6.71,5.17,8.12,32.64,5.28,8.16,0
0.238210138,0.776923077,0.653978907,3.84E-07,442151.6426,380048.258,192010.8668,0.238210138,0.8,0.39,0.18,0.29,0.38,18,3400690317,0.134264737,1591.745913,8.8,4.29,6.91,8.64,13.92,18.24,0
0.132579854,0.776923077,0.517326884,3.74E-07,415543.8816,335683.5389,186781.821,0.132579854,0.78,0.68,0.3,0.43,0.22,19,2690099795,0.149487598,1495.957974,8.58,7.48,3.94,14.4,20.64,10.56,0
0.568411141,0.776923077,0.669264443,3.84E-07,516563.4502,518732.6794,192092.3863,0.568411141,0.36,0.57,0.31,0.21,0.14,5,3480175102,0.071866005,1859.628421,3.96,6.27,9.77,14.88,10.08,6.72,1
0.496763482,0.776923077,0.593633528,3.81E-07,501356.5252,488640.6622,190586.4592,0.496763482,0.5,0.3,0.44,0.25,0.13,8,3086894347,0.080141575,1804.883491,5.5,3.3,11.2,21.12,12,6.24,1
