E_norm,J_crit_norm,J_norm,Lprime,P_left,P_right,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,1
0.514112723,0.776923077,0.54297119,3.80E-07,91619971.74,120213891.3,505080.8432,495927.3435,190235.8776,0.379353447,0.46,0.28,0.48,0.25,0.12,7,2823450188,0.076644413,1818.291036,5.06,3.08,11.86,23.04,12,5.76,1
0.451015797,0.776923077,0.658183937,3.86E-07,102383091.1,107691809.1,491400.6577,469426.6347,193000.7954,0.398545524,0.46,0.28,0.16,0.36,0.24,22,3422556474,0.092756486,1769.042368,5.06,3.08,11.86,7.68,17.28,11.52,1
0.459352889,0.776923077,0.583392037,3.78E-07,94690324.32,125256013.9,493229.997,472928.2134,189012.2383,0.290979463,0.36,0.62,0.44,0.25,0.12,23,3033638592,0.083213185,1775.627989,3.96,6.82,9.22,21.12,12,5.76,1
0.544955915,0.776923077,0.598093985,3.82E-07,99286262.29,115809080.9,511634.9391,508881.4844,191229.8462,0.439562043,0.46,0.28,0.24,0.36,0.12,24,3110088724,0.07376229,1841.885781,5.06,3.08,11.86,11.52,17.28,5.76,1
0.332196507,0.776923077,0.538632497,3.75E-07,93770765.01,137686105.8,464546.846,419522.5329,187615.429,0.080955802,0.6,0.61,0.48,0.25,0.12,25,2800888984,0.10386762,1672.368645,6.6,6.71,6.69,23.04,12,5.76,1
0.35881692,0.776923077,0.508685768,3.75E-07,94658242.42,139873117.3,470696.3946,430703.1064,187299.8502,0.092996138,0.31,0.94,0.48,0.25,0.12,26,2645165996,0.097920724,1694.507021,3.41,10.34,6.25,23.04,12,5.76,1
0.514112723,0.776923077,0.54297119,3.80E-07,91619971.74,120213891.3,505080.8432,495927.3435,190235.8776,0.379353447,0.46,0.28,0.48,0.25,0.12,7,2823450188,0.076644413,1818.291036,5.06,3.08,11.86,23.04,12,5.76,1
0.328952458,0.776923077,0.575447707,3.82E-07,102823087.4,122541743.2,463791.8685,418160.0322,190856.7699,0.177262626,0.45,0.62,0.16,0.4,0.24,27,2992328077,0.111513834,1669.650726,4.95,6.82,8.23,7.68,19.2,11.52,1
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,1
0.430850065,0.776923077,0.766127024,3.85E-07,115657639,125734075.8,486947.4432,460957.0274,192508.0257,0.25146074,0.31,0.94,0.19,0.24,0.23,4,3983860527,0.095336352,1753.010795,3.41,10.34,6.25,9.12,11.52,11.04,1
0.324922865,0.776923077,0.81793941,3.89E-07,115205143.6,107747344.2,462852.359,416467.6034,194269.0763,0.224654999,0.41,0.58,0.15,0.2,0.43,11,4253284931,0.119721478,1666.268493,4.51,6.38,9.11,7.2,9.6,20.64,1
0.488625919,0.776923077,0.692557208,3.86E-07,107280166.9,113922608.1,499600.09,485222.8858,193010.4683,0.392168448,0.41,0.44,0.24,0.22,0.24,3,3601297482,0.086329931,1798.560324,4.51,4.84,10.65,11.52,10.56,11.52,1
0.239488464,0.776923077,0.62649165,3.82E-07,101018826.1,112532219,442463.8478,380585.1549,191215.648,0.155430924,0.45,0.61,0.27,0.27,0.39,9,3257756581,0.132161066,1592.869852,4.95,6.71,8.34,12.96,12.96,18.72,1
0.435023421,0.776923077,0.778292765,3.87E-07,106864170.8,112153203.2,487872.3842,462709.8367,193285.0566,0.349200292,0.41,0.44,0.24,0.22,0.29,28,4047122377,0.09617954,1756.340583,4.51,4.84,10.65,11.52,10.56,13.92,1
0.239488464,0.776923077,0.62649165,3.82E-07,101018826.1,112532219,442463.8478,380585.1549,191215.648,0.155430924,0.45,0.61,0.27,0.27,0.39,9,3257756581,0.132161066,1592.869852,4.95,6.71,8.34,12.96,12.96,18.72,1
0.544955915,0.776923077,0.598093985,3.82E-07,99286262.29,115809080.9,511634.9391,508881.4844,191229.8462,0.439562043,0.46,0.28,0.24,0.36,0.12,24,3110088724,0.07376229,1841.885781,5.06,3.08,11.86,11.52,17.28,5.76,2
0.451015797,0.776923077,0.658183937,3.86E-07,102383091.1,107691809.1,491400.6577,469426.6347,193000.7954,0.398545524,0.46,0.28,0.16,0.36,0.24,22,3422556474,0.092756486,1769.042368,5.06,3.08,11.86,7.68,17.28,11.52,2
0.377834824,0.776923077,0.51611027,3.81E-07,100038649.7,124970635.4,475040.948,438690.626,190303.5494,0.211344596,0.45,0.62,0.24,0.36,0.18,29,2683773402,0.100604517,1710.147413,4.95,6.82,8.23,11.52,17.28,8.64,2
0.420746509,0.776923077,0.589505968,3.85E-07,99694724.61,108433329.9,484700.8823,456713.5336,192316.9832,0.364524309,0.46,0.28,0.16,0.4,0.24,30,3065431034,0.096774568,1744.923176,5.06,3.08,11.86,7.68,19.2,11.52,2
0.208578834,0.776923077,0.533337033,3.76E-07,97332655.2,138974712.2,434851.9864,367603.1101,187819.6866,-0.051252581,0.31,0.94,0.24,0.45,0.24,31,2773352573,0.131916359,1565.467151,3.41,10.34,6.25,11.52,21.6,11.52,2
0.517931122,0.776923077,0.755339823,3.88E-07,110535104.6,110794474.6,505896.8482,497531.0712,194005.8104,0.440700405,0.41,0.44,0.19,0.24,0.23,32,3927767080,0.083488869,1821.228653,4.51,4.84,10.65,9.12,11.52,11.04,2
0.399586069,0.776923077,0.538819241,3.77E-07,92905983.94,131007996.1,479961.7125,447826.1492,188287.9284,0.192866096,0.45,0.61,0.48,0.25,0.12,33,2801860051,0.092297809,1727.862165,4.95,6.71,8.34,23.04,12,5.76,2
