E_norm,J_crit_norm,J_norm,Lprime,acc_max,energy,f_armature,fitness,genom_0,genom_1,genom_2,genom_3,genom_4,id,j,mass,velocity,x1,x2,x3,x4,x5,x6,iteration_num
0.686051989,0.776923077,0.608236364,3.86E-07,540605.2446,568141.8354,193052.4406,0.686051989,0.26,0.63,0.27,0.18,0.11,25,3162829091,0.057104269,1946.178881,2.86,6.93,10.21,12.96,8.64,5.28,1
0.603760241,0.776923077,0.775980119,3.89E-07,523903.5685,533579.301,194748.2464,0.603760241,0.36,0.7,0.11,0.19,0.2,26,4035096619,0.071725367,1886.052847,3.96,7.7,8.34,5.28,9.12,9.6,1
0.33748479,0.776923077,0.679139819,3.84E-07,465774.9483,421743.612,192031.6658,0.33748479,0.69,0.83,0.3,0.12,0.29,27,3531527057,0.11228423,1676.789814,7.59,9.13,3.28,14.4,5.76,13.92,1
0.460621243,0.776923077,0.714412703,3.87E-07,493507.7073,473460.9223,193469.4029,0.460621243,0.32,0.7,0.3,0.12,0.29,28,3714946057,0.092029142,1776.627746,3.52,7.7,8.78,14.4,5.76,13.92,1
0.334015337,0.776923077,0.401052723,3.75E-07,464969.6002,420286.4413,187543.3939,0.334015337,0.36,0.48,0.4,0.39,0.19,29,2085474158,0.103345496,1673.890561,3.96,5.28,10.76,19.2,18.72,9.12,1
0.597150074,0.776923077,0.734524565,3.91E-07,522538.8278,530803.0309,195507.4841,0.597150074,0.26,0.63,0.13,0.19,0.23,30,3819527740,0.074149199,1881.13978,2.86,6.93,10.21,6.24,9.12,11.04,1
0.422469197,0.776923077,0.538162174,3.83E-07,485084.6637,457437.0626,191304.9576,0.422469197,0.93,0.38,0.13,0.34,0.14,31,2798443303,0.094374368,1746.304789,10.23,4.18,5.59,6.24,16.32,6.72,1
0.23098775,0.776923077,0.505942411,3.79E-07,440383.5631,377014.8551,189595.3145,0.23098775,0.69,0.83,0.46,0.13,0.28,32,2630900535,0.13052314,1585.380827,7.59,9.13,3.28,22.08,6.24,13.44,1
0.377079245,0.776923077,0.749811405,3.89E-07,474869.0976,438373.2827,194734.8748,0.377079245,0.39,0.57,0.12,0.21,0.39,33,3899019308,0.110081169,1709.528751,4.29,6.27,9.44,5.76,10.08,18.72,1
0.167173779,0.776923077,0.51187114,3.79E-07,424441.6492,350212.9872,189718.8192,0.167173779,0.5,0.91,0.46,0.13,0.41,34,2661729931,0.146984455,1527.989937,5.5,10.01,4.49,22.08,6.24,19.68,1
0.479401618,0.776923077,0.60477942,3.88E-07,497601.5931,481348.6796,194105.3507,0.479401618,0.43,0.2,0.35,0.17,0.29,35,3144852983,0.090081851,1791.365735,4.73,2.2,13.07,16.8,8.16,13.92,1
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,1
0.415900931,0.776923077,0.540488882,3.83E-07,483619.7487,454678.3912,191361.5995,0.415900931,0.75,0.63,0.13,0.34,0.14,37,2810542185,0.095686074,1741.031095,8.25,6.93,4.82,6.24,16.32,6.72,1
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,2
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,2
0.686051989,0.776923077,0.608236364,3.86E-07,540605.2446,568141.8354,193052.4406,0.686051989,0.26,0.63,0.27,0.18,0.11,25,3162829091,0.057104269,1946.178881,2.86,6.93,10.21,12.96,8.64,5.28,2
0.639627025,0.776923077,0.748561625,3.92E-07,531247.5372,548643.3505,196060.0757,0.639627025,0.43,0.2,0.13,0.19,0.23,38,3892520449,0.069055971,1912.491134,4.73,2.2,13.07,6.24,9.12,11.04,2
0.558249826,0.776923077,0.552089006,3.86E-07,514434.1087,514464.927,193142.9866,0.558249826,0.42,0.49,0.13,0.34,0.14,20,2870862833,0.075447474,1851.962791,4.62,5.39,9.99,6.24,16.32,6.72,2
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,2
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,2
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,2
0.461163818,0.776923077,0.486208961,3.86E-07,493626.458,473688.8037,192908.0648,0.461163818,0.43,0.2,0.13,0.43,0.23,39,2528286596,0.09079766,1777.055249,4.73,2.2,13.07,6.24,20.64,11.04,2
0.686051989,0.776923077,0.608236364,3.86E-07,540605.2446,568141.8354,193052.4406,0.686051989,0.26,0.63,0.27,0.18,0.11,25,3162829091,0.057104269,1946.178881,2.86,6.93,10.21,12.96,8.64,5.28,2
0.686051989,0.776923077,0.608236364,3.86E-07,540605.2446,568141.8354,193052.4406,0.686051989,0.26,0.63,0.27,0.18,0.11,25,3162829091,0.057104269,1946.178881,2.86,6.93,10.21,12.96,8.64,5.28,2
0.678020959,0.776923077,0.742184445,3.93E-07,538998.0812,564768.8029,196741.4232,0.678020959,0.28,0.23,0.13,0.19,0.23,40,3859359113,0.065013216,1940.393092,3.08,2.53,14.39,6.24,9.12,11.04,2
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,2
0.499413987,0.776923077,0.7809689,3.87E-07,501927.2909,489753.8744,193698.6277,0,0.84,0.7,0.11,0.19,0.2,41,4061038280,0.085909735,1806.938247,9.24,7.7,3.06,5.28,9.12,9.6,2
0.582514901,0.776923077,0.740609318,3.91E-07,519504.4818,524656.2584,195697.8065,0.582514901,0.67,0.2,0.13,0.19,0.23,42,3851168454,0.076700901,1870.216134,7.37,2.2,10.43,6.24,9.12,11.04,2
0.425195316,0.776923077,0.612163715,3.82E-07,485691.3705,458582.0327,191082.9728,0.425195316,0.69,0.83,0.27,0.18,0.16,43,3183251319,0.093424682,1748.488934,7.59,9.13,3.28,12.96,8.64,7.68,2
0.686051989,0.776923077,0.608236364,3.86E-07,540605.2446,568141.8354,193052.4406,0.686051989,0.26,0.63,0.27,0.18,0.11,25,3162829091,0.057104269,1946.178881,2.86,6.93,10.21,12.96,8.64,5.28,2
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,2
0.488270446,0.776923077,0.726112535,3.87E-07,499523.223,485073.5874,193407.5959,0.488270446,0.93,0.38,0.11,0.23,0.2,44,3775785184,0.087184393,1798.283603,10.23,4.18,5.59,5.28,11.04,9.6,2
0.510860984,0.776923077,0.548341624,3.84E-07,504384.8947,494561.6132,192011.821,0.510860984,0.36,0.7,0.13,0.34,0.14,45,2851376445,0.080685114,1815.785621,3.96,7.7,8.34,6.24,16.32,6.72,2
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.138771455,0.776923077,0.669618498,3.83E-07,417150.3433,338284.011,191658.9672,0.138771455,0.93,0.38,0.27,0.18,0.51,46,3482016190,0.159448183,1501.741236,10.23,4.18,5.59,12.96,8.64,24.48,3
0.639627025,0.776923077,0.748561625,3.92E-07,531247.5372,548643.3505,196060.0757,0.639627025,0.43,0.2,0.13,0.19,0.23,38,3892520449,0.069055971,1912.491134,4.73,2.2,13.07,6.24,9.12,11.04,3
0.204927798,0.776923077,0.676464423,3.85E-07,433944.0587,366069.6752,192576.0232,0.204927798,0.26,0.63,0.27,0.18,0.55,47,3517614997,0.143780758,1562.198611,2.86,6.93,10.21,12.96,8.64,26.4,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.65810141,0.776923077,0.614330743,3.86E-07,534990.9582,556402.5924,192895.6927,0.65810141,0.28,0.71,0.27,0.18,0.11,48,3194519866,0.06055879,1925.967449,3.08,7.81,9.11,12.96,8.64,5.28,3
0.413778004,0.776923077,0.715803501,3.89E-07,483145.3241,453786.7618,194494.2373,0.413778004,0.28,0.23,0.27,0.18,0.4,49,3722178207,0.102558459,1739.323167,3.08,2.53,14.39,12.96,8.64,19.2,3
0.573952384,0.776923077,0.430639744,3.83E-07,517720.948,521060.0012,191370.8128,0.573952384,0.43,0.2,0.27,0.38,0.11,50,2239326670,0.069640853,1863.795413,4.73,2.2,13.07,12.96,18.24,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,3
0.639627025,0.776923077,0.748561625,3.92E-07,531247.5372,548643.3505,196060.0757,0.639627025,0.43,0.2,0.13,0.19,0.23,38,3892520449,0.069055971,1912.491134,4.73,2.2,13.07,6.24,9.12,11.04,3
0.744531653,0.776923077,0.620335341,3.88E-07,552167.1177,592703.2943,194099.8668,0.744531653,0.43,0.2,0.27,0.18,0.11,5,3225743774,0.05152377,1987.801624,4.73,2.2,13.07,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.438982623,0.776923077,0.614811976,3.82E-07,488748.2446,464372.7019,190811.8219,0.438982623,0.97,0.63,0.27,0.18,0.11,51,3197022276,0.090409222,1759.493681,10.67,6.93,2.4,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,3
0.706515876,0.776923077,0.646131698,3.87E-07,544679.0254,576736.6678,193472.7407,0.706515876,0.28,0.54,0.27,0.18,0.11,52,3359884828,0.055205051,1960.844491,3.08,5.94,10.98,12.96,8.64,5.28,3
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,4
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,4
0.677624146,0.776923077,0.60641845,3.85E-07,538918.5469,564602.1412,192616.1149,0.677624146,0.28,0.61,0.27,0.18,0.11,53,3153375942,0.057412295,1940.106769,3.08,6.71,10.21,12.96,8.64,5.28,4
0.806237917,0.776923077,0.643918508,3.90E-07,564110.0301,618619.9251,194860.958,0.806237917,0.28,0.23,0.27,0.18,0.11,36,3348376242,0.045430763,2030.796108,3.08,2.53,14.39,12.96,8.64,5.28,4
